Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","29,02 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.104,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"5,74 €/Monat (68,92 €/Jahr)","29,11 Cent/kWh",NA,NA,24 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.106,69 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENNI Energie & Umwelt Niederrhein GmbH,10969,7.000 kWh,monatlich,"4,96 €/Monat (59,51 €/Jahr)","29,25 Cent/kWh",NA,NA,Energiepreisgarantie bis 30.06.2023,bis 30.06.2021,12 Monate,6 Wochen zum Ende der Lieferzeit,"2.107,03 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elektrizitätswerk Weißenhorn AG,10969,7.000 kWh,monatlich,"12,50 €/Monat (149,94 €/Jahr)","27,97 Cent/kWh",NA,NA,keine,bis 31.12.2019,6 Monate,3 Monate vor Ablauf der Laufzeit,"2.107,49 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidenheim AG,10969,7.000 kWh,monatlich,"6,47 €/Monat (77,68 €/Jahr)","29,02 Cent/kWh",NA,NA,keine,keine Angabe,keine Angabe,keine Angabe,"2.109,08 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LogoEnergie GmbH,10969,7.000 kWh,monatlich,"6,55 €/Monat (78,54 €/Jahr)","29,04 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Vertragsende,"2.111,06 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LichtBlick SE,10969,7.000 kWh,monatlich,"9,95 €/Monat (119,40 €/Jahr)","28,49 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.113,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badenova AG & Co. KG,10969,7.000 kWh,monatlich,"9,37 €/Monat (112,38 €/Jahr)","28,60 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Vertragsende,"2.114,08 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voltera - Eine Marke der Energy2Day GmbH,10969,7.000 kWh,monatlich,"9,20 €/Monat (110,40 €/Jahr)","28,64 Cent/kWh",NA,NA,3 Monate Nettopreisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.115,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grün.power GmbH,10969,7.000 kWh,monatlich,"9,21 €/Monat (110,52 €/Jahr)","28,64 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,6 Wochen zum Monatsende,"2.115,32 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"6,74 €/Monat (80,92 €/Jahr)","29,11 Cent/kWh",NA,NA,24 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.118,69 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"10,30 €/Monat (123,60 €/Jahr)","28,54 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat zum Ende eines Kalendermonats,"2.121,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
badenova AG & Co. KG,10969,7.000 kWh,monatlich,"9,37 €/Monat (112,38 €/Jahr)","28,71 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"2.122,41 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dessauer Stromversorgung GmbH,10969,7.000 kWh,monatlich,"8,45 €/Monat (101,40 €/Jahr)","28,91 Cent/kWh",NA,NA,keine,12 Monate,6 Monate,6 Wochen zum Monatsende,"2.125,10 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Südwestenergie GmbH - Eine Marke der badenova AG & Co. KG,10969,7.000 kWh,monatlich,"10,35 €/Monat (124,24 €/Jahr)","28,60 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,keine Angabe,keine Angabe,"2.125,94 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strom von Föhr Vertriebs-GmbH,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","28,85 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.126,30 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ExtraEnergie GmbH,10969,7.000 kWh,monatlich,"9,21 €/Monat (110,52 €/Jahr)","28,80 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Monatsende,"2.126,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priostrom - Eine Marke der ExtraEnergie GmbH,10969,7.000 kWh,monatlich,"9,21 €/Monat (110,52 €/Jahr)","28,80 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Monatsende,"2.126,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grüner Funke - Eine Marke der Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"10,84 €/Monat (130,12 €/Jahr)","34,18 Cent/kWh",NA,16 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.128,31 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (378 € ),NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"12,59 €/Monat (151,13 €/Jahr)","29,30 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.129,98 €/Jahr",NA,NA,72 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"12,59 €/Monat (151,13 €/Jahr)","29,30 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.129,98 €/Jahr",NA,NA,72 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Eisenberg Energie GmbH,10969,7.000 kWh,jährlich,"8,83 €/Monat (106,00 €/Jahr)","29,43 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,keine Angabe,"2.131,10 €/Jahr",NA,NA,NA,NA,NA,"0,50 Ct./kWh",NA,NA,NA,NA,NA
Gemeindewerke Lichtenau,10969,7.000 kWh,monatlich,"6,55 €/Monat (78,54 €/Jahr)","29,35 Cent/kWh",NA,NA,keine,12 Monate,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.132,72 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NaturStromHandel GmbH,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","28,95 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.133,30 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEMAG AG,10969,7.000 kWh,monatlich,"11,14 €/Monat (133,68 €/Jahr)","28,64 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.138,48 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"19,90 €/Monat (238,80 €/Jahr)","27,20 Cent/kWh",NA,NA,24 Monate Nettopreisgarantie,24 Monate,12 Monate,6 Wochen zum Vertragsende,"2.142,80 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stromversorgung Angermünde GmbH,10969,7.000 kWh,monatlich,"6,38 €/Monat (76,54 €/Jahr)","29,53 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,36 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.143,63 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Herrenberg,10969,7.000 kWh,monatlich,"7,74 €/Monat (92,82 €/Jahr)","29,32 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.145,33 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Herrenberg,10969,7.000 kWh,monatlich,"7,74 €/Monat (92,82 €/Jahr)","29,32 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2020,bis 31.12.2020,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.145,33 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"5,74 €/Monat (68,92 €/Jahr)","29,71 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.148,34 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ExtraEnergie GmbH,10969,7.000 kWh,monatlich,"11,29 €/Monat (135,48 €/Jahr)","28,80 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"2.151,48 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSTROGA AG,10969,7.000 kWh,monatlich,"7,43 €/Monat (89,20 €/Jahr)","29,54 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,1 Monat zum Vertragsende,"2.157,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwerin GmbH (SWS),10969,7.000 kWh,monatlich,"7,83 €/Monat (94,01 €/Jahr)","30,55 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,4 Wochen zum Monatsende,"2.157,32 €/Jahr",NA,NA,75 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Dessauer Stromversorgung GmbH,10969,7.000 kWh,monatlich,"8,45 €/Monat (101,40 €/Jahr)","29,38 Cent/kWh",NA,NA,keine,12 Monate,6 Monate,6 Wochen zum Monatsende,"2.158,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Münster GmbH,10969,7.000 kWh,monatlich,"6,74 €/Monat (80,92 €/Jahr)","29,71 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.160,34 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elektrizitätswerke Schönau Vertriebs GmbH,10969,7.000 kWh,monatlich,"9,95 €/Monat (119,40 €/Jahr)","29,20 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.163,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Eisenberg Energie GmbH,10969,7.000 kWh,monatlich,"8,83 €/Monat (106,00 €/Jahr)","29,43 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,keine Angabe,"2.166,10 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"11,73 €/Monat (140,77 €/Jahr)","28,94 Cent/kWh",NA,NA,12 Monate Preisfixierung,6 Monate,1 Monat,4 Wochen zum Vertragsende,"2.166,87 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strom von Föhr Vertriebs-GmbH,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","29,44 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.167,60 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","31,00 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.169,97 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenpeace Energy eG,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","29,80 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.172,80 €/Jahr",NA,NA,20 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
ENSTROGA AG,10969,7.000 kWh,monatlich,"11,73 €/Monat (140,77 €/Jahr)","29,06 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Vertragsende,"2.175,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Bochum GmbH,10969,7.000 kWh,monatlich,"14,90 €/Monat (178,85 €/Jahr)","28,56 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"2.178,05 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Herrenberg,10969,7.000 kWh,monatlich,"7,74 €/Monat (92,82 €/Jahr)","29,81 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.179,49 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"14,51 €/Monat (174,09 €/Jahr)","28,71 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,1 Monat,4 Wochen zum Vertragsende,"2.183,53 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
grün.power GmbH,10969,7.000 kWh,monatlich,"9,21 €/Monat (110,52 €/Jahr)","29,64 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,6 Wochen zum Monatsende,"2.185,32 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"12,62 €/Monat (151,48 €/Jahr)","29,06 Cent/kWh",NA,NA,12 Monate Preisfixierung,3 Monate,1 Monat,4 Wochen zum Vertragsende,"2.185,91 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","30,21 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.187,82 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Bochum GmbH,10969,7.000 kWh,monatlich,"15,90 €/Monat (190,85 €/Jahr)","28,56 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"2.190,05 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSTROGA AG,10969,7.000 kWh,monatlich,"13,22 €/Monat (158,62 €/Jahr)","29,06 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Vertragsende,"2.193,05 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"14,01 €/Monat (168,14 €/Jahr)","28,94 Cent/kWh",NA,NA,24 Monate Preisfixierung,6 Monate,1 Monat,4 Wochen zum Vertragsende,"2.194,24 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwerin GmbH (SWS),10969,7.000 kWh,monatlich,"7,83 €/Monat (94,01 €/Jahr)","31,14 Cent/kWh",NA,NA,12 Monate Nettopreisgarantie,12 Monate,12 Monate,4 Wochen zum Monatsende,"2.198,97 €/Jahr",NA,NA,75 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
NaturStromHandel GmbH,10969,7.000 kWh,monatlich,"10,90 €/Monat (130,80 €/Jahr)","29,55 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.199,30 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwerin GmbH (SWS),10969,7.000 kWh,monatlich,"6,84 €/Monat (82,11 €/Jahr)","30,25 Cent/kWh",NA,NA,6 Monate Nettopreisgarantie,6 Monate,6 Monate,4 Wochen zum Monatsende,"2.199,60 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
primastrom GmbH,10969,7.000 kWh,monatlich,"9,45 €/Monat (113,40 €/Jahr)","30,19 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,keine Angabe,keine Angabe,"2.201,70 €/Jahr",NA,NA,25 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
WEMAG AG,10969,7.000 kWh,monatlich,"12,92 €/Monat (155,04 €/Jahr)","29,24 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.201,84 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elektrizitätswerke Schönau Vertriebs GmbH,10969,7.000 kWh,monatlich,"9,95 €/Monat (119,40 €/Jahr)","29,80 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.205,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"10,89 €/Monat (130,65 €/Jahr)","35,20 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.205,45 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (389 € ),NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"7,23 €/Monat (86,82 €/Jahr)","35,83 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.205,69 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (389 € ),NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"14,41 €/Monat (172,90 €/Jahr)","29,06 Cent/kWh",NA,NA,24 Monate Preisfixierung,3 Monate,1 Monat,4 Wochen zum Vertragsende,"2.207,33 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NaturStromHandel GmbH,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","30,14 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.216,60 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LogoEnergie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","31,77 Cent/kWh",NA,NA,18 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Vertragsende,"2.224,11 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"14,68 €/Monat (176,12 €/Jahr)","29,30 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.226,97 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"14,68 €/Monat (176,12 €/Jahr)","29,30 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.226,97 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STROGON GmbH,10969,7.000 kWh,monatlich,"8,46 €/Monat (101,50 €/Jahr)","36,49 Cent/kWh",NA,30 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"2.227,70 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (398 € ),NA,NA,NA,NA,NA,NA,NA,NA
innogy SE,10969,7.000 kWh,monatlich,"6,00 €/Monat (72,05 €/Jahr)","30,82 Cent/kWh",NA,NA,keine,bis 21.11.2020,12 Monate,1 Monat zum Vertragsende,"2.229,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
innogy SE,10969,7.000 kWh,monatlich,"6,00 €/Monat (72,05 €/Jahr)","30,82 Cent/kWh",NA,NA,Nettopreisgarantie bis 21.11.2021,bis 21.11.2020,12 Monate,1 Monat zum Vertragsende,"2.229,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwerin GmbH (SWS),10969,7.000 kWh,monatlich,"6,84 €/Monat (82,11 €/Jahr)","30,84 Cent/kWh",NA,NA,6 Monate Nettopreisgarantie,6 Monate,6 Monate,4 Wochen zum Monatsende,"2.241,25 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Norderney GmbH,10969,7.000 kWh,monatlich,"6,00 €/Monat (72,00 €/Jahr)","31,04 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,bis 31.12.2020,Zum Ende des folgenden Kalenderjahres,4 Wochen zum Ende des Kalenderjahres,"2.244,80 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strom von Föhr Vertriebs-GmbH,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","30,63 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.250,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","32,19 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.253,27 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"12,59 €/Monat (151,13 €/Jahr)","31,08 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.254,93 €/Jahr",NA,NA,72 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Greenpeace Energy eG,10969,7.000 kWh,monatlich,"8,90 €/Monat (106,80 €/Jahr)","31,00 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,4 Wochen zum Monatsende,"2.256,80 €/Jahr",NA,NA,20 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","31,40 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.271,12 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elektrizitätswerke Schönau Vertriebs GmbH,10969,7.000 kWh,monatlich,"9,95 €/Monat (119,40 €/Jahr)","31,00 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.289,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","32,78 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.294,92 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
immergrün! energie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"11,45 €/Monat (137,38 €/Jahr)","31,02 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.308,81 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
idealenergie - Eine Marke der 365 AG,10969,7.000 kWh,monatlich,"11,46 €/Monat (137,50 €/Jahr)","31,02 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"2.308,93 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"11,15 €/Monat (133,80 €/Jahr)","31,10 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat auf das Ende eines Kalendermonats,"2.310,80 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"10,60 €/Monat (127,20 €/Jahr)","31,31 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"2.318,91 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Heidelberg Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","33,38 Cent/kWh",NA,NA,Preisfixierung bis 30.06.2021,bis 30.06.2021,1 Monat,Automatisch zum Ende der Laufzeit,"2.336,57 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSTROGA AG,10969,7.000 kWh,monatlich,"14,01 €/Monat (168,14 €/Jahr)","31,58 Cent/kWh",NA,30 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"2.348,53 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"14,68 €/Monat (176,12 €/Jahr)","31,08 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,3 Monate vor Ablauf der Laufzeit,"2.351,92 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Kleve GmbH,10969,7.000 kWh,monatlich,"6,07 €/Monat (72,83 €/Jahr)","32,59 Cent/kWh",NA,NA,Energiepreisgarantie bis 31.12.2021,bis 31.12.2021,1 Monat,14 Tage,"2.354,42 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
